"animals_id","date","hour","animals_name","sex","weekday","n_total_hour","n_rest_hour","pct_rest_hour"
1,"2005-03-08",0,"Milan","m",2,12,2,0.166666666666667
1,"2005-03-08",1,"Milan","m",2,11,9,0.818181818181818
1,"2005-03-08",2,"Milan","m",2,12,3,0.25
1,"2005-03-08",3,"Milan","m",2,12,9,0.75
1,"2005-03-08",4,"Milan","m",2,12,7,0.583333333333333
1,"2005-03-08",5,"Milan","m",2,12,9,0.75
1,"2005-03-08",6,"Milan","m",2,12,8,0.666666666666667
1,"2005-03-08",7,"Milan","m",2,11,8,0.727272727272727
1,"2005-03-08",8,"Milan","m",2,12,8,0.666666666666667
1,"2005-03-08",9,"Milan","m",2,12,10,0.833333333333333
1,"2005-03-08",10,"Milan","m",2,12,7,0.583333333333333
1,"2005-03-08",11,"Milan","m",2,12,11,0.916666666666667
1,"2005-03-08",12,"Milan","m",2,12,11,0.916666666666667
1,"2005-03-08",13,"Milan","m",2,11,8,0.727272727272727
1,"2005-03-08",14,"Milan","m",2,12,8,0.666666666666667
1,"2005-03-08",15,"Milan","m",2,12,10,0.833333333333333
1,"2005-03-08",16,"Milan","m",2,12,7,0.583333333333333
1,"2005-03-08",17,"Milan","m",2,12,7,0.583333333333333
1,"2005-03-08",18,"Milan","m",2,12,4,0.333333333333333
1,"2005-03-08",19,"Milan","m",2,11,4,0.363636363636364
1,"2005-03-08",20,"Milan","m",2,12,11,0.916666666666667
1,"2005-03-08",21,"Milan","m",2,12,8,0.666666666666667
1,"2005-03-08",22,"Milan","m",2,12,12,1
1,"2005-03-08",23,"Milan","m",2,12,11,0.916666666666667
1,"2005-03-09",0,"Milan","m",3,12,5,0.416666666666667
1,"2005-03-09",1,"Milan","m",3,12,6,0.5
1,"2005-03-09",2,"Milan","m",3,11,5,0.454545454545455
1,"2005-03-09",3,"Milan","m",3,12,10,0.833333333333333
1,"2005-03-09",4,"Milan","m",3,12,12,1
1,"2005-03-09",5,"Milan","m",3,12,9,0.75
1,"2005-03-09",6,"Milan","m",3,12,11,0.916666666666667
1,"2005-03-09",7,"Milan","m",3,12,7,0.583333333333333
1,"2005-03-09",8,"Milan","m",3,11,9,0.818181818181818
1,"2005-03-09",9,"Milan","m",3,12,9,0.75
1,"2005-03-09",10,"Milan","m",3,12,10,0.833333333333333
