animals_id,ID,timestamp,mean_x,mean_y,sum_axis,resting
1,77,25/04/2005 07:00,0,0,0,1
1,76,18/12/2005 23:25,42,48,90,0
1,77,22/05/2005 06:30,1,3,4,1
1,76,17/12/2005 15:25,78,69,147,0
1,77,09/04/2005 23:40,52,69,121,0
1,76,04/12/2005 23:00,0,5,5,1
1,77,25/03/2005 05:25,0,0,0,1
1,77,31/03/2005 14:00,0,0,0,1
1,77,26/06/2005 04:30,1,2,3,1
1,76,15/01/2006 18:45,121,117,238,0
1,77,28/03/2005 11:35,0,0,0,1
1,77,06/04/2005 06:55,0,0,0,1
1,77,05/04/2005 22:20,0,8,8,1
1,77,11/07/2005 22:35,0,0,0,1
1,77,02/07/2005 17:35,15,31,46,0
1,77,14/03/2005 02:15,0,0,0,1
1,76,29/01/2006 02:45,3,1,4,1
1,77,20/05/2005 10:40,0,0,0,1
1,77,09/07/2005 14:10,0,0,0,1
1,77,09/04/2005 18:45,98,115,213,0
4,73,03/04/2011 20:15,0,0,0,1
4,73,13/10/2012 20:50,30,30,60,0
4,73,03/10/2011 23:30,0,0,0,1
4,73,04/06/2011 22:25,127,124,251,0
4,73,30/05/2011 02:15,112,106,218,0
4,73,11/06/2011 20:00,121,174,295,0
4,73,21/03/2012 05:55,0,0,0,1
4,73,03/07/2011 16:15,0,0,0,1
4,73,07/10/2011 08:10,30,35,65,0
4,73,03/09/2012 23:15,84,104,188,0
4,73,02/01/2012 11:55,0,0,0,1
4,73,22/01/2012 20:40,78,96,174,0
4,73,12/10/2012 09:50,0,0,0,1
4,73,31/05/2011 07:35,0,0,0,1
4,73,03/08/2012 23:45,0,0,0,1
4,73,16/09/2012 05:15,160,171,331,0
4,73,05/12/2011 16:35,26,23,49,0
4,73,29/08/2011 19:20,175,205,380,0
4,73,01/07/2012 16:40,14,12,26,0
4,73,10/02/2012 01:40,122,80,202,0
324,93,12/03/2009 02:20,0,0,0,1
324,93,23/09/2008 08:50,16,13,29,0
324,93,25/06/2009 20:15,36,38,74,0
324,93,31/07/2008 14:25,3,1,4,1
324,93,11/09/2008 03:55,50,49,99,0
324,93,31/07/2008 03:35,1,0,1,1
324,93,07/10/2008 01:40,14,15,29,0
324,93,06/04/2009 15:05,0,0,0,1
324,93,29/04/2009 08:45,5,4,9,0
324,93,11/10/2008 09:20,6,4,10,0
324,93,13/10/2008 20:15,0,0,0,1
324,93,28/06/2009 04:10,82,95,177,0
324,93,26/05/2009 15:25,6,8,14,0
324,93,12/01/2009 15:00,50,61,111,0
324,93,21/09/2008 00:25,0,1,1,1
324,93,16/06/2009 02:00,0,0,0,1
324,93,11/10/2008 19:20,3,2,5,1
324,93,15/11/2008 05:00,1,1,2,1
324,93,07/06/2009 19:35,0,0,0,1
324,93,21/04/2009 01:25,0,0,0,1
670,198,09/04/2011 07:25,113,250,363,0
670,198,14/09/2011 02:50,113,208,321,0
670,198,05/12/2011 08:35,0,0,0,1
670,198,15/10/2011 10:40,0,0,0,1
670,198,08/10/2011 05:45,72,134,206,0
670,198,25/04/2012 16:15,0,0,0,1
670,198,03/09/2011 00:35,32,56,88,0
670,198,14/04/2011 13:40,0,0,0,1
670,198,29/12/2011 22:25,55,74,129,0
670,198,29/07/2011 08:05,0,0,0,1
670,198,06/12/2011 17:40,155,241,396,0
670,198,03/03/2012 07:25,0,0,0,1
670,198,15/12/2011 10:10,10,9,19,0
670,198,26/01/2012 11:35,8,10,18,0
670,198,12/08/2011 23:35,0,0,0,1
670,198,30/09/2011 13:55,8,7,15,0
670,198,10/10/2011 03:55,0,0,0,1
670,198,05/11/2011 12:35,0,0,0,1
670,198,08/11/2011 03:15,115,220,335,0
670,198,13/04/2011 03:05,0,0,0,1
