,project_phase,User_uid,Cat,Fox,Marten,Raccoon,garden_type,garden_size,Local_tree_cover,fence_height,compost,pop_100,dist_water_100,imperv_100,noise_100,tree_cover_100,distance_border,inside,season,covid,dist_border,pop_100m
1,1,39,11,0,0,0,Wohngrundstueck,625,20,100,Geschlossen,39.9447403,1001.409912,63.94447708,60.54810715,34.32405472,282.324589,1,Fall,No,301.4601955,38.91026475
2,1,40,5,1,1,0,Wohngrundstueck,550,10,0,Offen,27.44794655,683.5617676,24.25143433,59.63861847,20.10824203,1002.704349,1,Fall,No,997.6016376,28.12094018
3,1,46,0,3,0,2,Kleingarten,450,10,100,Geschlossen,27.97091484,1255.206665,28.39731789,50.86886978,34.61615372,547.6398814,1,Fall,No,575.0981061,21.21224066
4,1,50,85,62,0,41,Wohngrundstueck,1200,8,120,Offen,19.94672775,239.5688019,73.72754669,50.31464005,37.87809753,3892.112347,1,Fall,No,3851.113168,20.10720758
5,1,56,3,16,1,0,Kleingarten,350,5,120,Offen,71.94577789,395.6760864,83.79813385,56.01628113,7.638192177,2806.845404,1,Fall,No,2808.211917,73.67742662
6,1,57,37,5,0,6,Wohngrundstueck,740,30,150,Keiner,27.68911171,1189.87854,59.68270111,62.76557541,52.98068619,334.7996989,1,Fall,No,189.5557727,26.65258778
7,1,58,2,0,0,0,Wohngrundstueck,700,10,150,Offen,27.79706192,622.4868774,53.34778595,55.20329285,42.49488449,2854.555521,1,Fall,No,2892.175153,30.41004285
8,1,61,13,10,1,2,Wohngrundstueck,780,50,120,Keiner,27.11000061,212.9246826,5.124643326,47.13036346,56.81518555,3310.012379,1,Fall,No,3113.473045,27.11000144
9,1,63,21,3,1,1,Wohngrundstueck,600,10,150,Offen,30.15557671,1356.288818,66.52912903,47.73282242,36.46203232,385.6429441,1,Fall,No,372.9225138,29.44687965
10,1,66,0,1,0,0,Wohngrundstueck,411,5,160,Geschlossen,32.06672668,1455.000977,37.16753769,48.08040619,26.61008644,536.9148298,1,Fall,No,528.5999141,31.9796074
11,1,68,0,1,0,0,Kleingarten,580,2,120,Offen,0.300000012,111.0206909,44.27947617,63.13335419,57.29489136,3328.878288,1,Fall,No,3285.30619,0.300000003
12,1,70,8,5,2,14,Kleingarten,3400,40,160,Offen,1.297606707,83.87750244,7.326145172,54.04741287,46.09067154,3079.617824,1,Fall,No,2940.279425,1.608784257
13,1,73,12,15,1,2,Wohngrundstueck,500,10,100,Offen,48.9760704,631.8360596,10.34551525,60.04951859,44.53341293,1711.897477,1,Fall,No,1697.444111,49.34129464
14,1,76,0,12,2,3,Wohngrundstueck,1000,20,140,Offen,47.29537582,1510.127563,59.62619781,54.64173889,47.48804855,1951.855042,1,Fall,No,1927.726797,46.93462237
