Name,AIC,delta_AIC,AICc,R2_Nagelkerke
env_gard_pred_mod,1324.634,0,1325.388,0.128
env_mod,1326.693,2.059,1327.038,0.084
env_dog_mod,1327.72,3.086,1328.249,0.097
catmarten_mod,1583.536,258.902,1583.701,0.137
imp_gard_pred_mod,1585.827,261.193,1586.183,0.151
gard_pred_mod,1586.708,262.074,1586.992,0.14
imp_mod,1589.649,265.015,1589.766,0.107
season_lock_mod,1589.842,265.208,1589.92,0.099
imp_dog_mod,1592.826,268.192,1593.046,0.11
dog_mod,1593.296,268.662,1593.461,0.101
null_mod,1611.527,286.893,1611.55,0
