variable,min_CI,mean_overlap,max_CI,group_lock,group_season,group_ani,group_plot
Lock_Season,0.6317089060610491,0.6891519971936625,0.7465950883262759,Lockdown,both,without,1
NoLock_Season,0.5505375166820732,0.6240155326600001,0.697493548637927,No Lockdown,both,without,1
Lock_Spr_dog,0.26037779235150854,0.3596088750165143,0.45883995768152,Lockdown,Spring,Dogs,2
Lock_Aut_dog,0.6258178631452714,0.7007340628529731,0.7756502625606748,Lockdown,Autumn,Dogs,5
NoLock_Spr_dog,0.31712666918106863,0.44892362338666436,0.5807205775922601,No Lockdown,Spring,Dogs,2
NoLock_aut_dog,0.5736810881147697,0.6548498305205652,0.7360185729263607,No Lockdown,Autumn,Dogs,5
Lock_Spr_cat,0.366504999584626,0.4694039573115651,0.5723029150385042,Lockdown,Spring,Cats,3
Lock_Aut_cat,0.6843249663169774,0.7457924493552629,0.8072599323935484,Lockdown,Autumn,Cats,6
NoLock_Spr_cat,0.24609699359154555,0.3728259223924777,0.4995548511934098,No Lockdown,Spring,Cats,3
NoLock_aut_cat,0.6571655984849478,0.7279795805586273,0.7987935626323068,No Lockdown,Autumn,Cats,6
Lock_Spr_marten,0.4219153656783769,0.5190387234167007,0.6161620811550245,Lockdown,Spring,Martens,4
Lock_Aut_marten,0.7192727051289661,0.7715646672017992,0.8238566292746322,Lockdown,Autumn,Martens,7
NoLock_Spr_marten,0.38742349467450055,0.5220271363444813,0.656630778014462,No Lockdown,Spring,Martens,4
NoLock_Aut_marten,0.694154491094064,0.7542781388053283,0.8144017865165927,No Lockdown,Autumn,Martens,7
