"project_phase","User_uid","Cat","Fox","Marten","Raccoon","garden_type","garden_size","Local_tree_cover","fence_height","compost","Lat","Long","pop_100","dist_water_100","imperv_100","noise_100","tree_cover_100","distance_border","inside","season","covid"
1,39,11,0,0,0,"Wohngrundstueck",625,20,100,"Geschlossen",5823412.87693615,373233.690235905,39.9447402954102,1001.40991210938,63.9444770812988,60.5481071472168,34.3240547180176,282.32458904767,1,"Fall","No"
1,40,5,1,1,0,"Wohngrundstueck",550,10,0,"Offen",5814502.36515562,372824.855209023,27.4479465484619,683.561767578125,24.2514343261719,59.6386184692383,20.1082420349121,1002.7043489779,1,"Fall","No"
1,46,0,3,0,2,"Kleingarten",450,10,100,"Geschlossen",5820327.17757581,375080.468873125,27.9709148406982,1255.20666503906,28.3973178863525,50.8688697814941,34.616153717041,547.639881434285,1,"Fall","No"
1,50,85,62,0,41,"Wohngrundstueck",1200,8,120,"Offen",5827746.74358649,388764.247819239,19.9467277526855,239.568801879883,73.7275466918945,50.314640045166,37.8780975341797,3892.11234675699,1,"Fall","No"
1,56,3,16,1,0,"Kleingarten",350,5,120,"Offen",5821713.99969873,377084.704972993,71.9457778930664,395.676086425781,83.7981338500977,56.0162811279297,7.63819217681885,2806.84540357304,1,"Fall","No"
1,57,37,5,0,6,"Wohngrundstueck",740,30,150,"Keiner",5819344.50344479,375892.887214271,27.6891117095947,1189.87854003906,59.6827011108398,62.7655754089355,52.9806861877441,334.799698890653,1,"Fall","No"
1,58,2,0,0,0,"Wohngrundstueck",700,10,150,"Offen",5807766.28050206,409753.044413026,27.797061920166,622.486877441406,53.347785949707,55.2032928466797,42.4948844909668,2854.55552139434,1,"Fall","No"
1,61,13,10,1,2,"Wohngrundstueck",780,50,120,"Keiner",5815427.70478732,376418.654654714,27.1100006103516,212.924682617188,5.12464332580566,47.1303634643555,56.815185546875,3310.01237900126,1,"Fall","No"
1,63,21,3,1,1,"Wohngrundstueck",600,10,150,"Offen",5820536.8863737,407679.629110864,30.1555767059326,1356.28881835938,66.5291290283203,47.7328224182129,36.4620323181152,385.642944078027,1,"Fall","No"
1,66,0,1,0,0,"Wohngrundstueck",411,5,160,"Geschlossen",5820571.95156824,406356.848772157,32.0667266845703,1455.0009765625,37.167537689209,48.0804061889648,26.61008644104,536.914829820143,1,"Fall","No"
1,68,0,1,0,0,"Kleingarten",580,2,120,"Offen",5821540.34504792,378085.143348194,0.300000011920929,111.020690917969,44.2794761657715,63.1333541870117,57.2948913574219,3328.87828815043,1,"Fall","No"
